"CHEM_COMP_ID","SMILES"
"STR","C1CCCC1"
"DUH","c1ccncc1"
"X92","C1CCCC1"
"X92","NCC=O"
"8PX","c1cnoc1"
"X92","c1ccccc1"
"X92","CN1CCC[C@@H]1CO"
"X92","CC1CCCC1NCCO"
"STR","C1~C~C~C2~C(~C~1)~C~C~C1~C3~C~C~C~C~3~C~C~C~2~1"
"UDH","O=P(O)(O)O"
"I31","c1ccccc1"
"UDH","c1cncnc1"
"UDH","OCC1OCC(O)C1O"
"8PX","c1ccccc1"
"8PX","Oc1ccc(Br)cc1"
"6JQ","CC(N)=O"
"6JQ","c1ccccc1"
"6JQ","c1ccncc1"
"62X","Nc1ncnc2nc[nH]c12"
"OZS","c1c[nH]cn1"
"OZS","c1ccccc1"
"62Y","c1ccccc1"
"62X","c1c[nH]cn1"
"598","c1ccc2sccc2c1"
"598","c1ccccc1"
"598","c1ccsc1"
"598","CNS(=O)(=O)Cc1ccccc1"
"62X","NCC=O"
"NI7","CC(N)=O"
"NI7","NCC=O"
"NI7","c1ccccc1"
"NI7","C1CNCCN1"
"6JQ","c1ccc2ncccc2c1"
"6JQ","CCOc1ccc(C(=O)Nc2ccccc2)cc1"
"3Z1","CC(N)=O"
"62X","c1ncc2[nH]cnc2n1"
"62X","c1cncnc1"
"3Z1","c1ccccc1"
"3Z1","c1cncnc1"
"3Z1","c1ccc2ncncc2c1"
"3Z1","CNc1ncccn1"
"5CZ","c1ccc2[nH]ccc2c1"
"5CZ","c1ccccc1"
"5CZ","c1cc[nH]c1"
"NI7","c1ccc(CNC2CCNC2)cc1"
"TGT","CC(N)=O"
"TGT","O=P(O)(O)O"
"MK6","C1CC1"
"MK6","c1ccccc1"
"MK6","c1ccncc1"
"786","CC(N)=O"
"786","c1ccccc1"
"786","c1cn[nH]c1"
"786","c1cscn1"
"6RQ","c1ccc2[nH]cnc2c1"
"6RQ","c1c[nH]cn1"
"6RQ","c1ccccc1"
"JUP","CC(N)=O"
"JUP","c1ccccc1"
"JUP","c1ccncc1"
"JUP","c1ccsc1"
"7XV","c1ccccc1"
"LQT","CC(N)=O"
"490","c1ccc2[nH]cnc2c1"
"490","c1c[nH]cn1"
"490","c1ccccc1"
"490","c1cn[nH]c1"
"D2Z","CC(N)=O"
"D2Z","c1ccccc1"
"D2Z","CNCC1COc2ccccc2O1"
"3WH","c1ccccc1"
"3WH","c1cncnc1"
"7XV","c1cnccn1"
"7JL","c1ccccc1"
"490","c1ccncc1"
"BFS","CC(N)=O"
"BFS","c1ccccc1"
"BFS","O=C(NCc1ccccc1)c1cccc(F)c1"
"GQ5","c1ccccc1"
"7JL","c1cncnc1"
"7JL","c1ccc2ncncc2c1"
"KZ4","c1ccccc1"
"LQT","NCC=O"
"LQT","c1ccncc1"
"UKA","Nc1ncnc2nc[nH]c12"
"UKA","CC(N)=O"
"UKA","c1c[nH]cn1"
"IMJ","CC(N)=O"
"IMJ","c1ccc2[nH]ccc2c1"
"IMJ","c1ccccc1"
"UKA","c1ccccc1"
"UKA","c1ncc2[nH]cnc2n1"
"UKA","c1ccncc1"
