CHEM_COMP_ID,SMILES
HEB,C1=CC2=[N+]3C1=Cc1ccc4n1[Fe-2]31n3c(ccc3=CC3=[N+]1C(=C4)C=C3)=C2
HEC,C=c1cc2n3c1=Cc1ccc4n1[Fe]31n3c(cc(=C)c3=C2)C=c2ccc(n21)=C4
HEM,C1=CC2=[N+]3C1=Cc1ccc4n1[Fe-2]31n3c(ccc3=CC3=[N+]1C(=C4)C=C3)=C2
HIF,O=C1CC2=Cc3ccc4n3[Fe-2]35n6c(ccc6=CC1=[N+]23)=CC1=[N+]5C(=C4)C=C1
HMG,c1ncc2ncn([C@@H]3CCCO3)c2n1
HSC,c1ncc2ncn([C@H]3CCCO3)c2n1
HTL,c1ncc(C[n+]2ccsc2)cn1
HXC,c1ncc2ncn([C@H]3CCCO3)c2n1
IBG,c1ccccc1
ICY,c1ccccc1
IRF,O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1
ISW,C1=CC2=[N+]3C1=Cc1ccc4n1[Fe-2]31n3c(ccc3=CC3=[N+]1[C@@H](C=C3)C4)=C2
K15,c1ncc2ncn([C@@H]3CCCO3)c2n1
L9X,O=C1CCC(=O)N1
LNC,O=[PH](OC[C@@H]1CC[C@@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@H]1CC[C@@H]([n+]2ccccc2)O1
LPA,C1CSSC1
LPB,C1CSSC1
LZ6,c1ccccc1
M43,O=C1CC2CC3=[N+]4[C@]2(C[C@@H]2CCC5=[N+]2[Ni-2]42N4C(=C3)CCC4=C3C(=O)CC[C@@H]4C[C@@H](C5)[N+]2=C34)N1
M6T,c1ncc(C[n+]2ccsc2)cn1
MCA,c1ncc2ncn([C@H]3CCCO3)c2n1
MCD,c1ncc2ncn([C@H]3CCCO3)c2n1
MCN,O=c1ncccn1[C@H]1CC[C@H](CO[PH](=O)O[PH](=O)OC[C@H]2C=Cc3nc4cncnc4nc3O2)O1
MDE,c1ncc2[nH]c[n+]([C@H]3CCCO3)c2n1
MDO,C=C1N=CNC1=O
MGD,O=c1[nH]cnc2c1N[C@@H]1C=C[C@@H](CO[PH](=O)O[PH](=O)OC[C@@H]3CC[C@@H](n4cnc5c(=O)[nH]cnc54)O3)O[C@@H]1N2
MH0,C1=CC2=[N+]3C1=CC1=[N+]4C(=CC5=[N+]6C(=CC7=[N+](C(=C2)C=C7)[Fe-4]346)C=C5)C=C1
MLC,c1ncc2ncn([C@H]3CCCO3)c2n1
MNH,C1=CC2=[N+]3C1=Cc1ccc4n1[Mn+2]31n3c(ccc3=CC3=[N+]1C(=C4)C=C3)=C2
MNR,C1=CC2=[N+]3C1=Cc1ccc4n1[Mn+3]31n3c(ccc3=CC3=[N+]1C(=C4)C=C3)=C2
MPL,c1cc[nH+]cc1
MQ7,O=C1C=CC(=O)c2ccccc21
MSS,O=c1[nH]cnc2c1N[C@@H]1C3=C(CO[C@@H]1N2)S[Mo](=O)S3
MTE,O=c1[nH]cnc2c1N[C@@H]1C=CCO[C@@H]1N2
MTQ,O=C1N=CN=C2N[C@H]3OC=C4S[Mo](=O)(=O)SC4=C3N=C12
MTV,O=C1N=CN=C2N[C@H]3OC=C4S[Mo-](=O)SC4=C3N=C12
MYA,c1ncc2ncn([C@H]3CCCO3)c2n1
N01,O=[PH](OC[C@H]1CC[C@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@H]1CC[C@H]([n+]2ccccc2)O1
N1T,c1cncc(C[n+]2ccsc2)c1
N3T,c1cncc(C[n+]2ccsc2)c1
NA0,O=[PH](OC[C@H]1CC[C@@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@H]1CC[C@@H]([n+]2ccccc2)O1
NAD,O=[PH](OC[C@@H]1CC[C@@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@@H]1CC[C@@H]([n+]2ccccc2)O1
NAE,O=[PH](OC[C@@H]1CC[C@@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@@H]1CC[C@@H]([n+]2ccccc2)O1
NAI,O=[PH](OC[C@@H]1CC[C@@H](N2C=CCC=C2)O1)O[PH](=O)OC[C@@H]1CC[C@@H](n2cnc3cncnc32)O1
NAJ,O=[PH](OC[C@@H]1CC[C@@H](n2cnc3c[nH+]cnc32)O1)O[PH](=O)OC[C@@H]1CC[C@@H]([n+]2ccccc2)O1
NAP,O=[PH](OC[C@@H]1CC[C@@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@@H]1CC[C@@H]([n+]2ccccc2)O1
NAQ,O=[PH](OC[C@@H]1CC[C@@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@@H]1CC[C@@H]([n+]2ccccc2)O1
NAX,O=[PH](OC[C@@H]1CC[C@@H](N2C=CCCC2)O1)O[PH](=O)OC[C@@H]1CC[C@@H](n2cnc3cncnc32)O1
NBD,O=[PH](OC[C@@H]1CC[C@@H](n2cnc3c(NCc4ccccc4)ncnc32)O1)O[PH](=O)OC[C@@H]1CC[C@@H]([n+]2ccccc2)O1
NBP,O=[PH](OC[C@@H]1CC[C@@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@@H]1CC[C@@H]([n+]2ccccc2)O1
NDC,O=C1CCCC[C@@H]1c1cc[n+]([C@@H]2CC[C@@H](CO[PH](=O)O[PH](=O)OC[C@@H]3CC[C@@H](n4cnc5cncnc54)O3)O2)cc1
NDE,O=[PH](OC[C@@H]1CC[C@@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@H]1CC[C@H]([n+]2ccccc2)O1
NDO,O=[PH](OC[C@@H]1CC[C@@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@@H]1CC[C@@H]([n+]2ccccc2)O1
NDP,O=[PH](OC[C@@H]1CC[C@@H](N2C=CCC=C2)O1)O[PH](=O)OC[C@@H]1CC[C@@H](n2cnc3cncnc32)O1
NHD,O=[PH](OC[C@@H]1CC[C@@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@@H]1CC[C@@H]([n+]2ccccc2)O1
NHM,c1ncc2ncn([C@@H]3CCCO3)c2n1
NHQ,c1ncc2ncn([C@@H]3CCCO3)c2n1
NHW,c1ncc2ncn([C@H]3CCCO3)c2n1
NMX,c1ncc2ncn([C@H]3CCCO3)c2n1
NOP,c1cc[nH+]cc1
NPL,c1cc[nH+]cc1
NPW,O=[PH](OC[C@H]1CC[C@H](N2C=CCCC2)O1)O[PH](=O)OC[C@H]1CC[C@H](n2cnc3cncnc32)O1
ODP,O=C1C=C[N+]([C@@H]2CC[C@@H](CO[PH](=O)O[PH](=O)OC[C@H]3CC[C@@H](n4cnc5cncnc54)O3)O2)=CC1
OXK,c1ncc2ncn([C@H]3CCCO3)c2n1
P1H,O=C(c1ccncc1)C1C=CN([C@H]2CC[C@H](CO[PH](=O)O[PH](=O)OC[C@@H]3CC[C@@H](n4cnc5cncnc54)O3)O2)C=C1
P2Q,C(=CCOc1ccccc1)CNc1ccccc1
P3Q,C=C(CCCc1ccccc1)Nc1ccccc1
PAD,O=[PH](OC[C@@H]1CC[C@@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@@H]1CC[C@H](c2cccc[nH+]2)O1
