CHEM_COMP_ID,Total Molweight,cLogP,H-Acceptors,H-Donors,Druglikeness,Rings
YSD,430.67,6.419,3,3,-3.2491,3
YSA,509.499,-1.812,15,6,-9.2623,4
YS9,472.751,7.5461,3,3,-9.3883,3
YS6,153.209,0.1366,3,2,-0.94995,1
YS5,486.778,8.0005,3,3,-7.3752,3
YS4,402.279,-3.9074,9,5,-11.698,2
YS3,402.616,5.5102,3,3,-6.5353,3
YS2,374.563,4.7703,3,3,-8.9876,3
YS1,400.263,-4.1433,9,5,-10.255,3
YRZ,258.328,-0.1642,6,3,4.2023,4
YRR,197.126,-6.3588,6,4,-16.684,1
YRO,240.258,0.9391,6,3,-3.0845,1
YRL,138.165,1.1467,2,2,-4.1391,1
YRG,276.718,3.1268,3,1,-1.8685,2
YR4,472.663,5.4575,5,3,-7.0867,2
YR3,458.636,5.0031,5,3,-2.7583,2
YR1,460.397,1.537,10,3,-2.4836,4
YQY,477.219,2.2052,5,3,3.1125,3
YPZ,301.301,-0.2411,7,4,-7.7396,2
YPW,397.409,1.8884,8,2,0.71116,3
YPR,364.4,0.477,6,2,0.041943,4
YPP,535.576,-2.7791,13,5,1.9872,3
YPN,189.666,1.4096,2,1,-0.84766,1
YPH,592.698,5.4798,10,4,5.7375,6
YPA,403.477,4.1734,5,1,-5.8999,4
YOM,370.188,3.678,4,0,-6.7112,6
YOL,414.197,3.1631,6,1,-6.1562,6
YOK,442.251,3.6156,6,1,-6.9541,6
YOF,199.18,-1.7941,4,3,-12.385,1
YO5,258.162,-5.8012,8,6,-15.582,1
YNM,195.217,-1.2077,4,3,-0.65456,1
YNE,423.54,3.3045,7,1,4.9859,5
YNC,973.866,-5.5746,24,9,-54.844,3
YMX,558.631,4.284,8,1,-1.9079,6
YMP,509.415,-5.3382,15,7,-23.391,4
YML,266.273,-0.8003,5,3,-16.24,0
YMA,511.619,-7.8418,13,5,-6.0121,0
YM8,382.854,2.9206,7,1,-0.98177,3
YM7,310.364,0.6587,8,3,-3.5497,3
YM6,284.322,-0.2447,7,2,3.1924,4
YM5,,,,,,
YM5,339.398,0.5012,7,3,3.2857,4
YM4,,,,,,
YM4,551.491,2.7465,9,1,5.4942,6
YM3,305.337,-0.8594,8,2,1.0647,3
YM3,,,,,,
YM2,410.516,4.6214,7,0,3.2457,3
YLY,586.541,-7.9466,17,7,-46.79,4
YLQ,356.445,3.2346,5,1,2.1615,3
YLP,531.461,-5.4481,16,6,-48.381,3
YLP,530.453,-6.6957,16,5,-48.525,3
YLO,404.533,5.2456,4,0,2.2737,4
YLL,194.182,-2.8659,6,6,-4.5723,1
YLG,147.22,1.9597,1,1,3.4892,2
YLC,543.472,-5.2459,16,6,-52.785,3
YLC,542.464,-6.4935,16,5,-52.933,3
YLB,545.488,-4.9937,16,6,-50.929,3
YLB,544.48,-6.2413,16,5,-51.079,3
YLA,557.455,-5.6721,17,6,-62.669,3
YLA,556.447,-6.9197,17,5,-62.816,3
YL3,335.323,-0.2428,6,3,-11.203,3
YL2,441.34,-2.6096,9,5,-8.1172,4
YKR,269.296,-1.1726,6,4,-0.1765,2
YKN,293.296,3.7202,4,0,-4.0923,3
YKJ,418.459,3.3212,7,3,1.762,6
YKJ,,,,,,
YKI,,,,,,
YKI,442.481,3.9694,7,3,1.8916,7
YKE,453.504,4.103,6,2,2.8936,7
YKE,,,,,,
YKC,,,,,,
YKC,403.444,3.6471,6,2,1.7892,6
YKB,,,,,,
YKB,397.437,2.4389,7,3,-0.17812,5
YK9,,,,,,
YK9,297.316,3.4176,4,1,0.42757,5
YJX,,,,,,
YJX,302.336,2.1279,5,1,3.2034,5
YJW,267.283,3.1858,4,2,-0.69192,3
YJD,268.315,3.441,4,1,-0.53,3
YJC,534.463,2.0182,7,2,9.7163,5
YJA,,,,,,
YJA,507.568,2.8106,10,4,5.2966,4
YJ9,568.015,2.2605,7,2,0.99776,5
YJ8,625.91,1.8493,7,2,8.5588,5
YJ2,578.914,2.1374,7,2,6.9641,5
YIY,445.497,3.919,7,2,-3.0402,4
YIX,369.492,2.6578,6,2,4.7853,3
YIW,539.706,5.1163,8,2,2.368,5
YIV,101.148,0.5989,2,1,-1.5375,0
YIT,,,,,,
YIT,392.462,2.7539,8,5,3.4624,3
YIS,700.286,5.9906,10,4,2.4367,6
YIR,405.417,2.3107,10,5,-2.6556,4
YIR,,,,,,
YIQ,,,,,,
YIQ,373.419,1.9545,8,6,5.1926,4
YIP,209.616,1.2044,5,0,-4.8525,2
YIO,196.222,-1.49,5,4,-6.8195,1
YIN,536.226,5.8374,5,1,2.4705,6
YIH,244.061,1.8104,5,0,-4.8525,2
YIE,193.617,1.6909,4,0,-1.6571,2
YI6,180.202,1.4791,3,1,-2.9676,1
YI5,364.808,4.0135,6,2,-3.634,3
YI4,486.734,6.4182,4,4,-5.3783,3
