"SMILES","COUNT(*)"
"c1ccc(Cc2cnc3ncncc3c2)cc1",6
"O=c1ccn([C@H]2CC[C@@H](CO[PH](=O)O[PH](=O)O[C@@H]3CCCCO3)O2)c(=O)[nH]1",6
"c1ccc(Nc2ccnc3ccccc23)cc1",6
"O=C(CCOc1ccccc1)Nc1ccccc1",6
"O=C1C=C2CC[C@H]3[C@H]4CCCC4CC[C@H]3C2CC1",6
"c1ccc2c3c([nH]c2c1)CCCC3",6
"O=c1ccocc1",6
"c1ccc2cc(-c3n[nH]c4ncncc34)ccc2c1",6
"c1ccc(-c2nnc(-c3ccccc3)o2)cc1",6
"C1CCCNCC1",6
"c1ccc(Nc2ccncn2)cc1",6
"c1ccc2c(c1)ccc1ccccc12",6
"c1nnco1",6
"O=c1[nH]cnc2cc3[nH]cnc3cc12",6
"O=c1[nH]cnc2c1[nH]c(=O)n2[C@H]1CCCO1",6
"O=C(Cc1ccccc1)NCCc1ccccc1",6
"c1ccc(-c2cncc(-c3ccccc3)n2)cc1",6
"O=C1N=C2Nc3ccccc3NC2C(=O)N1",6
"C(=Cc1coc2ncncc12)c1ccccc1",6
"O=C(C=Cc1ccccc1)c1ccccc1",6
"c1ccc(-c2cnoc2)cc1",6
"C1CC[C@H](OC2CCCO2)OC1",6
"O=S(=O)(Oc1ccccc1)[C@H]1C[C@@H]2O[C@@H]1C(c1ccccc1)=C2c1ccccc1",6
"O=c1ccn(C2CCCC2)c(=O)[nH]1",6
"c1ncc(Cc2ccsc2)cn1",6
"c1c[n+]2c([nH]1)CCCC2",5
"c1ccc2c(c1)[nH]c1cnccc12",5
"O=c1ccn([C@@H]2CC[C@H](CO[PH](=O)O[PH](=O)O[C@H]3CCCCO3)O2)c(=O)[nH]1",5
"c1ccc(C(c2ccccc2)[C@@H]2CCCN2)cc1",5
"O=C(CCN1CCCCC1)Nc1ccc2cc3ccc(NC(=O)CCN4CCCCC4)cc3nc2c1",5
"c1ccc(CNCCNCc2ccccc2)cc1",5
"c1ccc(-c2ccc(O[C@@H]3CCCCO3)cc2)cc1",5
"O=c1ccn([C@H]2C[C@H]3OC(c4ccccc4)OC[C@H]3O2)c(=O)[nH]1",5
"O=C1NC=NC1=Cc1c[nH]c2ccccc12",5
"O=C1C=CC(=CC2=NC(=Cc3ccc(C=C4C=CC(=O)N4)[nH]3)C=C2)N1",5
"O=c1ccc(-c2ccccc2)c[nH]1",5
"O=C(CCc1ccccc1)NCC(=O)NCC(=O)NCCc1ccccc1",5
"O=S(=O)(c1cccc2cnccc12)N1CCCNCC1",5
"c1cc2ccc3cc4c(c5ccc(c1)c2c35)CCCC4",5
"O=C(CSc1nccc(=O)[nH]1)c1ccccc1",5
"O=C(c1ccc(-c2ccccc2)cc1)N(Cc1ccccc1)C1CC1",5
"C1=CCNC1",5
"O=c1ncccn1[C@H]1CSCO1",5
"c1ccc(Oc2ccc(-c3cn(C4CCCCC4)c4ncncc34)cc2)cc1",5
"c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1",5
"c1ccc(-c2cncnc2)cc1",5
"c1ccc2c(c1)CC[C@H]1[C@@H]2CCC2CCC[C@H]21",5
"C=C1CCCCC1=CC=Cc1ccccc1",5
"O=C(CN1Cc2ccc(-c3ccnc(NC4CCOCC4)n3)cc2C1=O)NCc1ccccc1",5
"O=C(c1ccccc1)N1CCCCC1",5
"c1cc(CCCCCCCOc2ccc(C3=NCCO3)cc2)on1",5
"c1ccc2nonc2c1",5
"c1ccc(OCC2CCCCC2)cc1",5
"C1=CC(c2cccc(N3CCCCC3)c2)c2c[nH]nc2O1",5
"c1cnc2[nH]ccc2c1",5
"c1ccc(-c2csc(-c3ccccc3)c2)cc1",5
"O=c1[nH]cnc2ncc(CNc3ccccc3)nc12",5
"O=c1[nH]cnc2c1[nH+]cn2[C@@H]1CCCO1",5
"c1ccc2c(c1)oc1ccccc12",5
"c1ccc([C@@H]2CCCN2)cc1",5
"O=c1cccc2c(c1)CCCc1ccccc1-2",5
"c1ccc(CO[C@@H]2CCCOC2)cc1",5
"O=C(NC(=O)c1ccccc1)N[C@@H]1CCCCO1",5
"O=c1ccoc2ccccc12",5
